MenuName	ClickableURL	ImageURL	BaseURL	DatabaseName
Human Colorectal adenocarcinoma cells (DL-1)	cgi-bin/map3/DLD1_HUMAN?	ch2dgifs/DLD1_HUMAN/DLD1_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Colorectal epithelia cells	cgi-bin/map3/CEC_HUMAN?	ch2dgifs/CEC_HUMAN/CEC_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Cerebrospinal Fluid    	cgi-bin/map3/CSF_HUMAN?	ch2dgifs/CSF_HUMAN/CSF_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Erythroleukemia Cell	cgi-bin/map3/ELC_HUMAN?	ch2dgifs/ELC_HUMAN/ELC_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human HepG2	cgi-bin/map3/HEPG2_HUMAN?	ch2dgifs/HEPG2_HUMAN/HEPG2_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human HepG2 Secreted Proteins      	cgi-bin/map3/HEPG2SP_HUMAN?	ch2dgifs/HEPG2SP_HUMAN/HEPG2SP_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Promyelocytic leukemia cells (HL-60)	cgi-bin/map3/HL60_HUMAN?	ch2dgifs/HL60_HUMAN/HL60_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Liver	cgi-bin/map3/LIVER_HUMAN?	ch2dgifs/LIVER_HUMAN/LIVER_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Kidney	cgi-bin/map3/KIDNEY_HUMAN?	ch2dgifs/KIDNEY_HUMAN/KIDNEY_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Lymphocytes	cgi-bin/map3/LYMPHOMA_HUMAN?	ch2dgifs/LYMPHOMA_HUMAN/LYMPHOMA_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
Human Lymphoma	cgi-bin/map3/LYMPHOCYTE_HUMAN?	ch2dgifs/LYMPHOMA_HUMAN/LYMPHOCYTE_HUMAN_id.gif	http://www.expasy.org/	SWISS-2DPROT Human
